
 :0000000
q :00000010000
F :000000100010
P :000000100011
H :0000001001
! :000000101
v :00000011
u :000001
r :00001
: :0001000000
? :0001000001
- :000100001
' :00010001
* :000100100000
E :000100100001
) :000100100010
L :000100100011
; :0001001001
W :0001001010
( :000100101100
[ :000100101101000000
Z :000100101101000001
] :00010010110100001
X :0001001011010001
J :000100101101001
V :00010010110101
U :0001001011011
O :00010010111
T :000100110
M :0001001110
D :0001001111
w :000101
p :0001100
b :0001101
g :000111
  :001
, :010000
c :010001
I :01001000
A :01001001
Q :01001010000
R :01001010001
S :0100101001
B :01001010100
K :01001010101
x :0100101011
z :01001011000
Y :01001011001
G :01001011010
N :01001011011
j :0100101110
C :0100101111
y :010011
a :0101
t :0110
d :01110
l :01111
o :1000
i :1001
n :1010
" :101100
f :101101
. :1011100
k :1011101
m :101111
e :110
h :1110
s :1111
